"Country","timePeriod","yieldStability","productionStability","yield","production","yieldAsynchrony","productionAsynchrony","richness","diversity","nitrogen","nitrogen_ha","irrigation","irrigation_share","meanTemp","instabilityTemp","meanPrec","instabilityPrec","warfare"
"IND",1971,18.4467988274625,16.3731989780763,4723968.14815089,308014153696000,0.569662581071413,0.584249635118787,4,2.46686624457542,2594590,0.0155562337293255,3389628459.4,20.323,24.429292028773,-88.7252836114424,9.24027032100264,-7.33229617017618,0.814760147601476
"IND",1981,25.6117841060592,16.6792663995729,6145991.72123626,440467497036000,0.396382121531252,0.284435303713086,4,2.62569580747448,5793770,0.0342216105586779,4239309560,25.04,24.4392968043267,-90.8040842198568,8.87099534402721,-9.48199356525376,1.22626695217702
"IND",1991,82.6246798522604,66.8990895662254,7561474.18571831,607674969400000,0.751354024369836,0.839069494021379,4,2.90825362953531,9966000,0.0586021568604391,5087744854,29.917,24.5162230000552,-123.046867151746,8.42133429024293,-10.406789120101,0.829813664596273
"IND",2001,32.6727459815004,22.6623451514505,8265558.27607735,710320572744000,0.515127777788497,0.54050181866817,4,3.14118960402791,13234528.3,0.0780228263958242,6114937990,36.05,24.8598250990847,-98.8582551058621,8.64677040496231,-9.54983840320086,0.504895960832313
"IDN",1961,16.1877291016578,12.0342460759759,4683270.05263106,51622165526000,0.552604640998749,0.483885168213623,3,2.16364047509056,116246.5,0.00447101923076923,263406000,10.131,25.426692297217,-354.575493478468,20.3956717940344,-9.24078341762123,0.526492851135408
"IDN",1971,36.980714724649,20.1005747124325,6633112.27594659,78835085609000,0.258996448220675,0.246489456111998,3,2.09603040795737,441736.8,0.0169898769230769,269620000,10.37,25.3719680276357,-173.965610400963,20.2991047578767,-9.45329390317095,0.814760147601476
"IDN",1981,48.265321534477,40.6132489204114,9571359.752505,131468476156000,0.857970678407139,0.513823677778773,3,2.11993657623763,1321131.4,0.0461917904968358,293703669,10.269,25.2835206618082,-131.622614627597,20.1063025453566,-13.1215894330809,1.22626695217702
"IDN",1991,56.852704853493,32.7030220816556,10747932.5655342,171735941422000,0.430562895102407,0.31900978575075,3,2.17474039964145,1810100,0.0568402343823598,345267826.8,10.842,25.4985930639424,-118.513900524534,16.8915627281611,-5.46374526805515,0.829813664596273
"IDN",2001,64.3249142691552,25.2135426093987,12704102.2933821,207342396489000,0.128060237924855,0.0986526593202798,3,1.96498690100935,2412814.9,0.0586205238593874,511411757.5,12.425,25.6087989059485,-178.022275397364,18.0243747789957,-6.95270434878359,0.504895960832313
"IRN",1961,52.5337880686324,10.1510713326305,2965281.44199057,14505216848000,0.724285661117984,0.233442406015616,4,1.33194214780671,30741.9,0.00198602631935965,128290780.8,8.288,13.2491945329502,-30.2945239982857,2.41978737229355,-5.70669429114718,0.526492851135408
"IRN",1971,14.1145000218688,13.6840500087774,3534803.13983443,21534767647000,0.600575782960191,0.139282754362384,4,1.36646292028372,200345.6,0.0125242614055487,149376250.8,9.338,13.0583190771723,-23.5401018825954,2.49167465634265,-8.76775078477069,0.814760147601476
"IRN",1981,13.2590367029108,12.3496434225976,4069848.93712088,27678675401000,0.526255585067503,0.369163480221857,4,1.37618547273996,531995.7,0.0335500037838656,171126585.6,10.792,13.2655308780704,-28.5026827005144,2.55661766776842,-6.99341479957457,1.22626695217702
"IRN",1991,16.5893903470318,9.64562177664503,6265051.90933945,43153080461000,0.817537045501678,0.220513818833482,4,1.52165864200801,739298.2,0.0409089410020031,208349782.2,11.529,13.3028921731124,-18.6083379978915,2.34727905554101,-7.48692201776315,0.829813664596273
"IRN",2001,8.74606578645272,5.18068580364379,7526984.25027975,55764405397000,0.295051270039151,0.0924572818908814,4,1.61487094247704,1058599.106,0.0599244578717006,290227485.24,16.429,14.0964398864043,-31.5068937273692,2.53693072627035,-7.33656199328669,0.504895960832313
"IRQ",1961,7.08926828086415,4.71316640753693,2808119.84650879,3884752788000,0.658342898205988,0.252632849722836,3,1.24206111920929,5051.4,0.00103252049138442,74822836.2,15.294,18.7916429063141,-38.244463534996,1.96973599853622,-3.76767562776768,0.526492851135408
"IRQ",1971,4.99303683777547,2.47942909664492,3027942.32655077,4358033948000,0.80388334668574,0.204789595055828,3,1.29207449494102,36301.3,0.00688424266560467,91488285,17.35,19.128975055834,-38.3116307286948,1.98539959535513,-3.93770383913209,0.814760147601476
"IRQ",1981,12.1197146596204,3.6741821148439,3275889.97865791,3680785886000,0.465948138164013,0.238089206245941,4,1.41771061112147,112541.5,0.0207625820972622,120311198.4,22.196,18.9299923933869,-40.4513464195682,2.01290552990582,-4.32818708992996,1.22626695217702
"IRQ",1991,4.8177280993074,5.51538850887352,2709265.86388147,4854580990000,0.377967183140001,0.389947795208825,4,1.55162787078205,215360,0.0420542862722125,198423387,38.747,19.373523021656,-32.3590822208304,2.06207520721596,-4.2387607189528,0.829813664596273
"IRQ",2001,6.19081100286311,4.1425129135044,5047167.92170489,8404656437000,0.592483370818367,0.311751716009202,4,1.61144692949352,186997.5,0.0402231662723166,189986034,40.866,18.2283643784568,-34.6291486535347,1.81033155019361,-5.48981751440929,0.504895960832313
"ISR",1961,3.26584727255266,3.25932645215465,5329793.86938261,425984800000,0.76787546052712,0.116134127646337,2,1.08742792620872,25032.6,0.0617783810463968,11973254.8,29.549,8.56175341925944,-37.0467192504573,0.944756769115744,-3.4948639396793,0.526492851135408
"ISR",1971,5.96079864000543,5.21491127070254,7546285.00785061,791355800000,0.28419990045571,0.0380691346895008,2,1.1117630892076,35396.7,0.0851701154956689,14622054.8,35.183,8.52059871603031,-56.4795664031531,0.970482053137159,-4.39501656780317,0.814760147601476
"ISR",1981,5.21134632231366,4.19023120497478,9772636.31490934,958353280000,0.277780976851725,0.445161259430669,2,1.24065785036777,48303,0.11429957406531,16224459.2,38.392,8.93480548664752,-71.1485163704121,0.962378275625402,-4.43839923544906,1.22626695217702
