Monfreda2008,harvestedAreaFAO,Group1,Group2,Calories,Protein,Fat,Considerations1,Considerations2,Considerations3,FoodGroup,GrowthLength,GrowthStructure
vegfor,NA,NA,NA,NA,NA,NA,,,,forage,annual,herbaceous
vetch,Vetches,vetch,vetch,3250000,315000,19000,,,,pulses,annual,herbaceous
walnut,"Walnuts, with shell",walnut,walnut,2890000,64000,278000,,,,tree nuts,perennial,tree
watermelon,Watermelons,watermelon,watermelon,170000,3000,2000,,,,vegetables and melons,annual,herbaceous
wheat,Wheat,wheat,wheat,3340000,122000,23000,,,,cereals,annual,herbaceous
yam,Yams,yam,yam,1010000,13000,2000,,,,roots and tubers,annual,herbaceous
yautia,Yautia (cocoyam),yautia,yautia,1090000,17000,3000,,,,roots and tubers,annual,herbaceous
NA,"Leeks, other alliaceous vegetables",NA,leeks,370000,7000,1000,,,,vegetables and melons,annual,herbaceous
NA,"Fruit, pome nes",NA,pomefruitnes,480000,4000,3000,,,,fruit,perennial,tree
NA,Kapok fruit,kapok,NA,NA,NA,NA,Same species,Avoid double counting,,NA,NA,NA
NA,Jojoba seed,NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,"Coarse Grain, Total",NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,"Citrus Fruit,Total",NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,Tallowtree seed,NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,"Maize, green",maize,NA,NA,NA,NA,Same species,Avoid double counting,,NA,NA,NA
NA,Cassava leaves,cassava,NA,NA,NA,NA,Same species,Avoid double counting,,NA,NA,NA
NA,Fruit Primary,NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,"Treenuts,Total",NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,Vegetables Primary,NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,Cereals (Rice Milled Eqv),NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,"Pulses,Total",NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,"Cereals,Total",NA,NA,NA,NA,NA,,,,NA,NA,NA
NA,"Roots and Tubers,Total",NA,NA,NA,NA,NA,,,,NA,NA,NA
